aa_	aa	Banana bunchy top virus :Banana bunchy top virus:ssDNA(+)::GCF_000847305.1
abelmoschus_	abelmoschus	Mungbean yellow mosaic India virus :Mungbean yellow mosaic India virus:ssDNA(+/-)::GCF_000858565.1
abelmoschus_angulosus	abelmoschus angulosus	Ludwigia leaf distortion betasatellite :Ludwigia leaf distortion betasatellite:ssDNA:Abelmoschus esculentus:GCF_018580545.1
abelmoschus_angulosus	abelmoschus angulosus	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
abelmoschus_angulosus	abelmoschus angulosus	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
abelmoschus_angulosus	abelmoschus angulosus	Okra enation leaf curl virus :Okra enation leaf curl virus:ssDNA(+/-):Abelmoschus esculentus:GCF_001866875.1
abelmoschus_caillei	abelmoschus caillei	Bhendi yellow vein betasatellite :Bhendi yellow vein betasatellite:ssDNA:Abelmoschus esculentus:GCF_000843925.1
abelmoschus_caillei	abelmoschus caillei	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
abelmoschus_caillei	abelmoschus caillei	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
abelmoschus_esculentus	abelmoschus esculentus	Ageratum conyzoides symptomless alphasatellite :Ageratum conyzoides symptomless alphasatellite:ssDNA:Abelmoschus manihot subsp. tetraphyllus:GCF_001429995.1
abelmoschus_esculentus	abelmoschus esculentus	Ageratum enation alphasatellite :Ageratum enation alphasatellite:ssDNA:Papaver somniferum:GCF_000902015.1
abelmoschus_esculentus	abelmoschus esculentus	Ageratum yellow vein Pakistan alphasatellite :Ageratum yellow vein Pakistan alphasatellite:ssDNA:Abelmoschus esculentus:GCF_001962155.1
abelmoschus_esculentus	abelmoschus esculentus	Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite :Bendhi Yellow Vein Mosaic/Mesta Yellow Vein Mosaic alphasatellite:ssDNA:Abelmoschus esculentus:GCF_003034035.1
abelmoschus_esculentus	abelmoschus esculentus	Bhendi yellow vein betasatellite :Bhendi yellow vein betasatellite:ssDNA:Abelmoschus esculentus:GCF_000843925.1
abelmoschus_esculentus	abelmoschus esculentus	Bhendi yellow vein Bhubhaneswar virus :Bhendi yellow vein Bhubhaneswar virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000881075.1
abelmoschus_esculentus	abelmoschus esculentus	Bhendi yellow vein mosaic alphasatellite :Bhendi yellow vein mosaic alphasatellite:ssDNA::GCF_000989055.1
abelmoschus_esculentus	abelmoschus esculentus	Bhendi yellow vein mosaic virus-associated alphasatellite :Bhendi yellow vein mosaic virus-associated alphasatellite:ssDNA:Abelmoschus esculentus:GCF_000898635.1
abelmoschus_esculentus	abelmoschus esculentus	Bhendi yellow vein mosaic virus :Bhendi yellow vein mosaic virus:ssDNA(+/-)::GCF_001046705.1
abelmoschus_esculentus	abelmoschus esculentus	Bidens mottle virus :Bidens mottle virus:ssRNA(+):Helianthus annuus:GCF_000889115.1
abelmoschus_esculentus	abelmoschus esculentus	Chickpea chlorotic dwarf virus :Chickpea chlorotic dwarf virus:ssDNA(+/-):Cicer arietinum:GCF_000880315.1
abelmoschus_esculentus	abelmoschus esculentus	Chili leaf curl betasatellite :Chili leaf curl betasatellite:ssDNA:Capsicum annuum:GCF_000843905.1
abelmoschus_esculentus	abelmoschus esculentus	Chilli leaf curl virus :Chilli leaf curl virus:ssDNA(+/-)::GCF_000841265.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Alabad virus :Cotton leaf curl Alabad virus:ssDNA(+/-)::GCF_000842045.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Bangalore betasatellite :Cotton leaf curl Bangalore betasatellite:ssDNA:Alcea rosea:GCF_018583495.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Bangalore betasatellite :Cotton leaf curl Bangalore betasatellite:ssDNA::GCF_000865005.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Bangalore betasatellite :Cotton leaf curl Bangalore betasatellite:ssDNA:Malvastrum coromandelianum:GCF_018580885.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Burewala alphasatellite :Cotton leaf curl Burewala alphasatellite:ssDNA:Gossypium hirsutum:GCF_000884675.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Burewala virus :Cotton leaf curl Burewala virus:ssDNA(+/-):Gossypium hirsutum:GCF_000882715.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira alphasatellite 3 :Cotton leaf curl Cameroon alphasatellite:ssDNA:Abelmoschus esculentus:GCF_018590975.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira alphasatellite :Cotton leaf curl Gezira alphasatellite:ssDNA:Abelmoschus esculentus:GCF_000886955.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira alphasatellite :Cotton leaf curl Gezira alphasatellite:ssDNA:Abelmoschus esculentus:GCF_003073075.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira betasatellite :Cotton leaf curl Gezira betasatellite:ssDNA::GCF_002830045.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira betasatellite :Cotton leaf curl Gezira betasatellite:ssDNA:Gossypium hirsutum:GCF_000858125.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira betasatellite :Cotton leaf curl Gezira betasatellite:ssDNA:Sida acuta:GCF_018584265.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Gezira virus :Cotton leaf curl Gezira virus:ssDNA(+/-)::GCF_000838805.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Kokhran virus :Cotton leaf curl Kokhran virus:ssDNA(+/-)::GCF_000840425.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan alphasatellite :Cotton leaf curl Multan alphasatellite:ssDNA::GCF_000897295.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Gossypium hirsutum:GCF_002987865.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Hibiscus rosa-sinensis:GCF_000866685.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Solanum lycopersicum:GCF_018580225.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan virus :Cotton leaf curl Multan virus:ssDNA(+/-)::GCF_000839845.1
abelmoschus_esculentus	abelmoschus esculentus	Cotton leaf curl Multan virus :Cotton leaf curl Multan virus:ssDNA(+/-)::GCF_000841225.1
abelmoschus_esculentus	abelmoschus esculentus	Croton yellow vein mosaic alphasatellite :Croton yellow vein mosaic alphasatellite:ssDNA:Acalypha:GCF_000888115.1
abelmoschus_esculentus	abelmoschus esculentus	Croton yellow vein mosaic betasatellite :Croton yellow vein mosaic betasatellite:ssDNA:Croton:GCF_000869565.1
abelmoschus_esculentus	abelmoschus esculentus	Gossypium darwinii symptomless alphasatellite :Gossypium darwinii symptomless alphasatellite:ssDNA:Gossypium davidsonii:GCF_003028915.1
abelmoschus_esculentus	abelmoschus esculentus	Gossypium mustelinum symptomless alphasatellite :Gossypium mustelinum symptomless alphasatellite:ssDNA:Gossypium mustelinum:GCF_003028925.1
abelmoschus_esculentus	abelmoschus esculentus	Guar leaf curl alphasatellite :Guar leaf curl alphasatellite:ssDNA:Triticum aestivum:GCF_000905935.1
abelmoschus_esculentus	abelmoschus esculentus	Ludwigia leaf distortion betasatellite :Ludwigia leaf distortion betasatellite:ssDNA:Abelmoschus esculentus:GCF_018580545.1
abelmoschus_esculentus	abelmoschus esculentus	Malachra yellow vein mosaic betasatellite :Malachra yellow vein mosaic betasatellite:ssDNA:Abelmoschus esculentus:GCF_001430415.1
abelmoschus_esculentus	abelmoschus esculentus	Malvastrum yellow vein Yunnan virus :Malvastrum yellow vein Yunnan virus:ssDNA(+/-):Malvastrum coromandelianum:GCF_000857485.1
abelmoschus_esculentus	abelmoschus esculentus	Mesta yellow vein mosaic alphasatellite :Mesta yellow vein mosaic alphasatellite:ssDNA:Abelmoschus esculentus:GCF_000899235.1
abelmoschus_esculentus	abelmoschus esculentus	Mesta yellow vein mosaic virus :Mesta yellow vein mosaic virus:ssDNA(+/-):Hibiscus cannabinus:GCF_000873045.1
abelmoschus_esculentus	abelmoschus esculentus	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
abelmoschus_esculentus	abelmoschus esculentus	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
abelmoschus_esculentus	abelmoschus esculentus	Okra enation leaf curl virus :Okra enation leaf curl virus:ssDNA(+/-):Abelmoschus esculentus:GCF_001866875.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl alphasatellite :Okra leaf curl alphasatellite:ssDNA:Abelmoschus esculentus:GCF_000844465.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl alphasatellite :Okra leaf curl alphasatellite:ssDNA::GCF_000875105.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl betasatellite :Okra leaf curl betasatellite:ssDNA::GCF_000841065.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl Cameroon virus :Okra leaf curl Cameroon virus:ssDNA(+/-)::GCF_000889495.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl Mali virus satellite DNA beta :Okra leaf curl Mali virus satellite DNA beta:ssDNA:Abelmoschus esculentus:GCF_000874105.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl Oman betasatellite :Okra leaf curl Oman betasatellite:ssDNA:Abelmoschus esculentus:GCF_002830125.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl Oman virus :Okra leaf curl Oman virus:ssDNA(+/-):Abelmoschus esculentus:GCF_001504015.1
abelmoschus_esculentus	abelmoschus esculentus	Okra leaf curl virus :Okra leaf curl virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000885075.1
abelmoschus_esculentus	abelmoschus esculentus	Okra mottle virus :Okra mottle virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000875625.1
abelmoschus_esculentus	abelmoschus esculentus	Okra yellow crinkle virus :Okra yellow crinkle virus:ssDNA(+/-)::GCF_000867665.1
abelmoschus_esculentus	abelmoschus esculentus	Okra yellow mosaic Mexico virus :Okra yellow mosaic Mexico virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000889735.1
abelmoschus_esculentus	abelmoschus esculentus	Okra yellow vein disease associated sequence :Okra yellow vein disease associated sequence:ssDNA:Abelmoschus esculentus:GCF_000846465.1
abelmoschus_esculentus	abelmoschus esculentus	Okra yellow vein mosaic virus :Okra yellow vein mosaic virus:ssDNA(+/-)::GCF_000840545.1
abelmoschus_esculentus	abelmoschus esculentus	Sida yellow vein alphasatellite :Sida yellow vein alphasatellite:ssDNA:Abelmoschus esculentus:GCF_000923555.1
abelmoschus_esculentus	abelmoschus esculentus	Sida yellow vein mosaic alphasatellite :Mesta yellow vein mosaic virus alphasatellite:ssDNA:Abelmoschus tuberculatus:GCF_001430315.1
abelmoschus_esculentus	abelmoschus esculentus	Soybean chlorotic blotch virus :Soybean chlorotic blotch virus:ssDNA(+/-):Glycine max:GCF_000889935.1
abelmoschus_esculentus	abelmoschus esculentus	Tobacco curly shoot alphasatellite :Tobacco curly shoot alphasatellite:ssDNA:Helianthus:GCF_003028935.1
abelmoschus_esculentus	abelmoschus esculentus	Tobacco streak virus :Tobacco streak virus:ssRNA(+)::GCF_000865505.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato chlorosis virus :Tomato chlorosis virus:ssRNA(+):Solanum lycopersicum:GCF_000864085.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Bangladesh betasatellite :Tomato leaf curl Bangladesh betasatellite:ssDNA:Carica papaya:GCF_018583345.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Bangladesh betasatellite :Tomato leaf curl Bangladesh betasatellite:ssDNA:Chrysanthemum sp.:GCF_018583485.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Bangladesh betasatellite :Tomato leaf curl Bangladesh betasatellite:ssDNA:Solanum lycopersicum:GCF_002987895.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Bangladesh betasatellite :Tomato leaf curl Bangladesh betasatellite:ssDNA:Solanum lycopersicum:GCF_018583915.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl betasatellite :Tomato leaf curl betasatellite:ssDNA::GCF_000848965.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl betasatellite :Tomato leaf curl betasatellite:ssDNA:Solanum lycopersicum:GCF_002987905.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl betasatellite :Tomato leaf curl betasatellite:ssDNA:Solanum lycopersicum:GCF_002987995.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl betasatellite :Tomato leaf curl betasatellite:ssDNA:Solanum lycopersicum:GCF_018577855.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl betasatellite :Tomato leaf curl betasatellite:ssDNA:Solanum lycopersicum:GCF_018580585.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Cameroon virus :Tomato leaf curl Cameroon virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000885495.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl Joydebpur virus :Tomato leaf curl Joydebpur virus:ssDNA(+/-):Solanum lycopersicum:GCF_000864425.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl New Delhi alphasatellite :Tomato leaf curl New Delhi alphasatellite:ssDNA:Luffa aegyptiaca:GCF_013087115.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl New Delhi betasatellite :Tomato leaf curl New Delhi betasatellite:ssDNA::GCF_000846505.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl New Delhi virus :Tomato leaf curl New Delhi virus:ssDNA(+/-):Solanum lycopersicum:GCF_000842925.1
abelmoschus_esculentus	abelmoschus esculentus	Tomato leaf curl virus :Tomato leaf curl virus:ssDNA(+/-)::GCF_000838425.1
abelmoschus_esculentus	abelmoschus esculentus	Turnip mosaic virus :Turnip mosaic virus:ssRNA(+)::GCF_000863465.1
abelmoschus_ficulneus	abelmoschus ficulneus	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
abelmoschus_ficulneus	abelmoschus ficulneus	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
abelmoschus_manihot	abelmoschus manihot	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Gossypium hirsutum:GCF_002987865.1
abelmoschus_manihot	abelmoschus manihot	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Hibiscus rosa-sinensis:GCF_000866685.1
abelmoschus_manihot	abelmoschus manihot	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Solanum lycopersicum:GCF_018580225.1
abelmoschus_manihot	abelmoschus manihot	Hollyhock yellow vein mosaic virus :Hollyhock yellow vein mosaic virus:ssDNA(+/-):Alcea rosea:GCF_000896675.1
abelmoschus_manihot	abelmoschus manihot	Hollyhock yellow vein mosaic virus :Hollyhock yellow vein mosaic virus:ssDNA(+/-):Alcea rosea:GCF_004787015.1
abelmoschus_manihot	abelmoschus manihot subsp. tetraphyllus	Ageratum conyzoides symptomless alphasatellite :Ageratum conyzoides symptomless alphasatellite:ssDNA:Abelmoschus manihot subsp. tetraphyllus:GCF_001429995.1
abelmoschus_manihot	abelmoschus manihot subsp. tetraphyllus	Bhendi yellow vein mosaic virus :Bhendi yellow vein mosaic virus:ssDNA(+/-)::GCF_001046705.1
abelmoschus_manihot	abelmoschus manihot subsp. tetraphyllus	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
abelmoschus_manihot	abelmoschus manihot subsp. tetraphyllus	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
