"Locus.ID","New.Symbol","New.Name","Past.annotations","Lan.et.al...2022..annotation","canonical_transcript"
"AT1G01100","P1w","Ribosomal Protein P1w","Co-orthologous gene of large ribosomal subunit protein RPP1.","P1D","AT1G01100.2"
"AT1G02780","eL19x","Ribosomal Protein eL19x","Ribosomal protein L19e family protein","eL19A","AT1G02780.1"
"AT1G02830","eL22x","Ribosomal Protein eL22x","Ribosomal L22e protein family","eL22A","AT1G02830.1"
"AT1G04270","uS19u","Ribosomal Protein uS19u","Encodes cytosolic ribosomal protein S15.","uS19A","AT1G04270.1"
"AT1G04480","uL14x","Ribosomal Protein uL14x","Ribosomal protein L14p/L23e family protein","uL14A","AT1G04480.1"
"AT1G07070","eL33w","Ribosomal Protein eL33w","Ribosomal protein L35Ae family protein","eL33A","AT1G07070.1"
"AT1G07770","uS8z","Ribosomal Protein uS8z","Encodes cytoplasmic ribosomal protein S15a.; RIBOSOMAL PROTEIN S15A (RPS15A); RIBOSOMAL PROTEIN S15A (RPS15A); RPS15A","uS8A","AT1G07770.1"
"AT1G08360","uL1z","Ribosomal Protein uL1z","Ribosomal protein L1p/L10e family ; ","uL1A","AT1G08360.1"
"AT1G09590","eL21z","Ribosomal Protein eL21z","Translation protein SH3-like family protein ; ","eL21A","AT1G09590.1"
"AT1G09690","eL21y","Ribosomal Protein eL21y","Translation protein SH3-like family protein ; ","eL21C","AT1G09690.1"
"AT1G12960","uL15z","Ribosomal Protein uL15z","Ribosomal protein L18e/L15 superfamily protein ; ","","AT1G12960.1"
"AT1G14320","uL16z","Ribosomal Protein uL16z","Encodes a ribosomal protein L10 and may be involved in translation regulation. Semi-dominant mutations in SAC552 can suppress defects in acaulis5, which encodes a thermospermine synthase, by enhancing translation of acl5 and itself.; SUPPRESSOR OF ACAULIS 52 (SAC52); SUPPRESSOR OF ACAULIS 52 (SAC52);RIBOSOMAL PROTEIN L10 A (RPL10A);RIBOSOMAL PROTEIN L10 (RPL10); SAC52","uL16A","AT1G14320.1"
"AT1G15250","eL37z","Ribosomal Protein eL37z","Zinc-binding ribosomal protein family protein ; ","eL37A","AT1G15250.1"
"AT1G15930","eS12z","Ribosomal Protein eS12z","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein ; ","eS12A","AT1G15930.1"
"AT1G18080","RACK1z","Ribosomal Protein RACK1z","Encodes the Arabidopsis thaliana homolog of the tobacco WD-40 repeat ArcA gene.  It is a scaffold protein that acts downstream of and is phosphorylated by WNK8 in the glucose responsiveness and flowering pathways . Knockout mutants show insensitivity to gibberellin in GA-induced seed germination.;  (ATARCA);  (ATARCA);RECEPTOR FOR ACTIVATED C KINASE 1 A (RACK1A_AT); (ATRACK1);SUPPRESSOR OF ACAULIS 53 (SAC53); (RACK1A); ATARCA","RACK1A","AT1G18080.1"
"AT1G18540","eL6z","Ribosomal Protein eL6z","Ribosomal protein L6 family protein ; ","eL6A","AT1G18540.1"
"AT1G22780","uS13z","Ribosomal Protein uS13z","S18 ribosomal protein involved in the binding of f-Met tRNA during initiation of mRNA translation. Expression restricted to meristems. Mutant phenotype-pointed first leaves,reduced fresh weight, growth retardation.; POINTED FIRST LEAVES (PFL); POINTED FIRST LEAVES (PFL);POINTED FIRST LEAVES 1 (PFL1);40S RIBOSOMAL PROTEIN S18 (RPS18A); PFL","uS13A","AT1G22780.1"
"AT1G23290","uL15y","Ribosomal Protein uL15y","Encodes a ribosomal protein L27A, a constituent of the large subunit of the ribosomal complex.  Regulated by TCP20. The mRNA is cell-to-cell mobile.;  (RPL27AB);  (RPL27AB);RIBOSOMAL PROTEIN L27A (RPL27A); RPL27AB","uL15B","AT1G23290.1"
"AT1G23410","eS31z","Ribosomal Protein eS31z","Ribosomal protein S27a / Ubiquitin family protein ; ","eS31A","AT1G23410.1"
"AT1G26880","eL34z","Ribosomal Protein eL34z","Ribosomal protein L34e superfamily protein ; ","eL34A","AT1G26880.1"
"AT1G26910","uL16y","Ribosomal Protein uL16y","Ribosomal protein L16p/L10e family protein; RIBOSOMAL PROTEIN L10 B (RPL10B); RIBOSOMAL PROTEIN L10 B (RPL10B); RPL10B","uL16B","AT1G26910.1"
"AT1G27400","uL22z","Ribosomal Protein uL22z","Ribosomal protein L22p/L17e family protein ; ","uL22A","AT1G27400.1"
"AT1G29965","eL20w","Ribosomal Protein eL20w","Ribosomal protein L18ae/LX family protein ; ","eL20D","AT1G29965.1"
"AT1G29970","eL20z","Ribosomal Protein eL20z","60S ribosomal protein L18A-1; 60S RIBOSOMAL PROTEIN L18A-1 (RPL18AA); 60S RIBOSOMAL PROTEIN L18A-1 (RPL18AA); RPL18AA","","AT1G29970.2"
"AT1G33120","uL6z","Ribosomal Protein uL6z","Ribosomal protein L6 family ; ","uL6B","AT1G33120.1"
"AT1G33140","uL6y","Ribosomal Protein uL6y","Encodes ribosomal protein L9. Identified in a screen for enhancers of as1. as1/pgy double mutants show defects in leaf vascular patterning and  adaxial cell fate. Double mutant analysis indicates pgy genes function in the same pathway as REV, KAN1 and KAN2. The mRNA is cell-to-cell mobile.; PIGGYBACK2 (PGY2); PIGGYBACK2 (PGY2); PGY2","uL6C","AT1G33140.1"
"AT1G34030","uS13y","Ribosomal Protein uS13y","Ribosomal protein S13/S18 family ; ","uS13B","AT1G34030.1"
"AT1G36240","eL30z","Ribosomal Protein eL30z","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein ; ","eL30A","AT1G36240.1"
"AT1G41880","eL33z","Ribosomal Protein eL33z","Ribosomal protein L35Ae family protein ; ","eL33B","AT1G41880.2"
"AT1G43170","uL3z","Ribosomal Protein uL3z","Encodes a cytoplasmic ribosomal protein. The mRNA is cell-to-cell mobile.; RIBOSOMAL PROTEIN 1 (RP1); RIBOSOMAL PROTEIN 1 (ARP1);RIBOSOMAL PROTEIN 1 (RP1); (RPL3A);EMBRYO DEFECTIVE 2207 (emb2207); RP1","uL3A","AT1G43170.1"
"AT1G48630","RACK1y","Ribosomal Protein RACK1y","Encodes a protein with similarity to mammalian RACKs. RACKs function to shuttle activated protein kinase C to different subcellular sites and may also function as a scaffold through physical interactions with other proteins. RACK1B has no phenotype on its own and probably acts redundantly with RACK1A and RACK1C.; RECEPTOR FOR ACTIVATED C KINASE 1B (RACK1B_AT); RECEPTOR FOR ACTIVATED C KINASE 1B (RACK1B);RECEPTOR FOR ACTIVATED C KINASE 1B (RACK1B_AT); RACK1B_AT","RACK1B","AT1G48630.1"
