Study	sample	A_Peak	Asite_total	virus	Total	virus_S	Ctrl_Astall	virus_stall
EToV	Ctrl	146328	2354440	0	303138053.819754	EToV	0.0621498105706665	0.0621498105706665
EToV	EToV.1hpi	42654	1263861	22583712.8759138	306745297.986714	EToV	0.0621498105706665	0.0337489644826448
HCMV_PLos	zzHCMV_05hpi	44009	4808881	20965720.954199	305625076.189771	HCMV	0.00566709611397253	0.00915160928290802
HCMV_PLos	zzHCMV_12hpi	56212	5140542	29842658.7063994	304540050.803506	HCMV	0.00566709611397253	0.0109350336987812
HCMV_PLos	zzHCMV_24hpi	8633	5417216	30903584.2250697	304624371.775664	HCMV	0.00566709611397253	0.00159362299749539
HCMV_PLos	zzHCMV_72hpi	17684	4343531	153532888.633039	303915588.328849	HCMV	0.00566709611397253	0.00407134195657865
HCMV_PLos	zzHCMV_mock	30303	5347183	0	306266965.971854	HCMV	0.00566709611397253	0.00566709611397253
IAV_A549	IAV.2hpi	26326	4521958	6038539.9166507	306422692.637472	IAV	0.00753681621250205	0.00582181435563975
IAV_A549	IAV.4hpi	41474	4365419	89889983.4279904	311884408.906206	IAV	0.00753681621250205	0.00950057714963901
IAV_A549	IAV.8hpi	166893	2155001	125009364.179268	309524959.121628	IAV	0.00753681621250205	0.0774445116266767
IAV_A549	IAV.uninf	34672	4600351	0	306116927.767431	IAV	0.00753681621250205	0.00753681621250205
MHV.Mouse	MHV.1hpi	47554	2527609	59448.8944653088	322181844.745206	MHV	0.0349306879854934	0.018813827613369
MHV.Mouse	MHV.1hpi_MOI200	48408	2009142	8658.5315377343	321719502.432082	MHV	0.0349306879854934	0.0240938669342436
MHV.Mouse	MHV.2.5hpi	100559	2661590	815548.231789149	321220525.910606	MHV	0.0349306879854934	0.0377815516289135
MHV.Mouse	MHV.5hpi	49490	2546689	140247637.574739	325700052.868466	MHV	0.0349306879854934	0.019433075652347
MHV.Mouse	MHV.8hpi	161981	1797201	230217827.965224	326153777.153225	MHV	0.0349306879854934	0.0901295959661718
MHV.Mouse	MHV.mock_1hpi	80162	2211675	0	320879280.584289	MHV	0.0349306879854934	0.0362449274870856
MHV.Mouse	MHV.mock_8hpi	76570	2277754	0	321177216.161632	MHV	0.0349306879854934	0.0336164484839012
SCV2_PMID_34433827	SCV2_moi01_48hpi	51541	4462639	121434391.070068	311588379.296581	SCV2	0.0157171652219076	0.0115494441741759
SCV2_PMID_34433827	SCV2_moi10_00hpi	80073	5094621	897092.023139849	302347676.205889	SCV2	0.0157171652219076	0.0157171652219076
SCV2_PMID_34433827	SCV2_moi10_01hpi	117635	5074512	1347752.5154998	300813298.594212	SCV2	0.0157171652219076	0.0231815394268454
SCV2_PMID_34433827	SCV2_moi10_02hpi	136024	4850495	686465.933378825	300619323.973923	SCV2	0.0157171652219076	0.0280433234133836
SCV2_PMID_34433827	SCV2_moi10_04hpi	135573	4697833	2389178.90231799	301665843.67656	SCV2	0.0157171652219076	0.0288586248170167
SCV2_PMID_34433827	SCV2_moi10_12hpi	85491	4342109	918914.679723107	304259196.66633	SCV2	0.0157171652219076	0.019688819419319
SCV2_PMID_34433827	SCV2_moi10_16hpi	79058	3798762	2466938.77492104	301666247.812565	SCV2	0.0157171652219076	0.0208115170152802
SCV2_PMID_34433827	SCV2_moi10_24hpi	110818	3615833	21739990.1116318	304349916.072512	SCV2	0.0157171652219076	0.030647986231665
SCV2_PMID_34433827	SCV2_moi10_36hpi	121193	3345271	53172113.6016499	308109198.665079	SCV2	0.0157171652219076	0.0362281561045428
SCV2_zCalu3	SCV2_Calu3.3hpi	2617	23279	8765077.37001641	288737968.167553	SCV2	0.0325109668999021	0.112418918338417
SCV2_zCalu3	SCV2_Calu3.5hpi	1273	9353	119957775.240374	302253065.453069	SCV2	0.0325109668999021	0.136106062226024
SCV2_zCalu3	SCV2_Calu3.8hpi	1388	13727	95247954.0282996	299069158.132543	SCV2	0.0325109668999021	0.101114591680629
SCV2_zCalu3	SCV2_Calu3.uninf	3587	110332	0	286653992.975304	SCV2	0.0325109668999021	0.0325109668999021
VACV_HeLa229	VACV_8hpi	14816	360369	91514980.4529695	306305264.661542	VACV	0.0250947714959199	0.041113414305892
VACV_HeLa229	VACV_Early	10157	324704	17737832.7837704	300033314.448721	VACV	0.0250947714959199	0.0312807972799842
VACV_HeLa229	VACV_uninf	13233	527321	0	300123726.893953	VACV	0.0250947714959199	0.0250947714959199
VACV_HeLaS3	VACV.2hpi	212797	5233901	171474041.10722	318655963.401766	VACV	0.035418645893778	0.0406574369671876
VACV_HeLaS3	VACV.4hpi	318089	4072649	286159495.896877	327126476.85962	VACV	0.035418645893778	0.078103710877122
VACV_HeLaS3	VACV.8hpi	296318	2978402	305717048.807187	327837158.538383	VACV	0.035418645893778	0.0994889205688151
VACV_HeLaS3	VACV.mock_2h	163791	5434724	0	306452790.203735	VACV	0.035418645893778	0.0301378690067794
VACV_HeLaS3	VACV.mock_4h	178867	5267394	0	306194017.437515	VACV	0.035418645893778	0.0339573990478024
VACV_HeLaS3	VACV.mock_8h	221584	5255704	0	306331781.671722	VACV	0.035418645893778	0.0421606696267522
