"","sample_id","lipo","cell_seeded","time","variable","E590","time_str","sample_id_modified","vector","condition","E590_Ctrl","E590_over_Ctrl"
"1","S1",TRUE,TRUE,24,"E590_zeroed_1",241326.4,"24 h","XS1","XS1 (0.588)","X1",258294,0.934308965752205
"2","S2",TRUE,TRUE,24,"E590_zeroed_1",217425.4,"24 h","XS2","XS2 (0.705)","X2",258294,0.841774876690903
"3","S3",TRUE,TRUE,24,"E590_zeroed_1",217032.4,"24 h","XS3","XS3 (0.774)","X3",258294,0.840253354704329
"4","S4",TRUE,TRUE,24,"E590_zeroed_1",210745.4,"24 h","XS4","XS4 (0.861)","X4",258294,0.815912874476372
"5","S5",TRUE,TRUE,24,"E590_zeroed_1",208227.4,"24 h","XS5","XS5 (1.000)","X5",258294,0.806164293402092
"6","Mock",TRUE,TRUE,24,"E590_zeroed_1",247950.4,"24 h","Mock","Mock","Ctrl",258294,0.959954160762542
"7","S1",TRUE,TRUE,24,"E590_zeroed_2",233243.4,"24 h","XS1","XS1 (0.588)","X1",258294,0.903015168761179
"8","S2",TRUE,TRUE,24,"E590_zeroed_2",237651.4,"24 h","XS2","XS2 (0.705)","X2",258294,0.920080992976995
"9","S3",TRUE,TRUE,24,"E590_zeroed_2",226915.4,"24 h","XS3","XS3 (0.774)","X3",258294,0.878515954687294
"10","S4",TRUE,TRUE,24,"E590_zeroed_2",211261.4,"24 h","XS4","XS4 (0.861)","X4",258294,0.817910598000728
"11","S5",TRUE,TRUE,24,"E590_zeroed_2",204687.4,"24 h","XS5","XS5 (1.000)","X5",258294,0.792458980851278
"12","Mock",TRUE,TRUE,24,"E590_zeroed_2",245197.4,"24 h","Mock","Mock","Ctrl",258294,0.949295763742092
"13","S1",TRUE,TRUE,24,"E590_zeroed_3",232074.4,"24 h","XS1","XS1 (0.588)","X1",258294,0.898489318373636
"14","S2",TRUE,TRUE,24,"E590_zeroed_3",240933.4,"24 h","XS2","XS2 (0.705)","X2",258294,0.932787443765631
"15","S3",TRUE,TRUE,24,"E590_zeroed_3",215393.4,"24 h","XS3","XS3 (0.774)","X3",258294,0.833907872424447
"16","S4",TRUE,TRUE,24,"E590_zeroed_3",215009.4,"24 h","XS4","XS4 (0.861)","X4",258294,0.832421194452833
"17","S5",TRUE,TRUE,24,"E590_zeroed_3",200743.4,"24 h","XS5","XS5 (1.000)","X5",258294,0.777189559184495
"18","Mock",TRUE,TRUE,24,"E590_zeroed_3",260770.4,"24 h","Mock","Mock","Ctrl",258294,1.00958752429402
"19","S1",TRUE,TRUE,24,"E590_zeroed_4",222186.4,"24 h","XS1","XS1 (0.588)","X1",258294,0.860207360604582
"20","S2",TRUE,TRUE,24,"E590_zeroed_4",239141.4,"24 h","XS2","XS2 (0.705)","X2",258294,0.925849613231434
"21","S3",TRUE,TRUE,24,"E590_zeroed_4",220398.4,"24 h","XS3","XS3 (0.774)","X3",258294,0.853285016299256
"22","S4",TRUE,TRUE,24,"E590_zeroed_4",214244.4,"24 h","XS4","XS4 (0.861)","X4",258294,0.829459453181259
"23","S5",TRUE,TRUE,24,"E590_zeroed_4",195066.4,"24 h","XS5","XS5 (1.000)","X5",258294,0.755210728859362
"24","Mock",TRUE,TRUE,24,"E590_zeroed_4",256861.4,"24 h","Mock","Mock","Ctrl",258294,0.99445360712986
"25","S1",TRUE,TRUE,24,"E590_zeroed_5",223597.4,"24 h","XS1","XS1 (0.588)","X1",258294,0.865670127838819
"26","S2",TRUE,TRUE,24,"E590_zeroed_5",232675.4,"24 h","XS2","XS2 (0.705)","X2",258294,0.9008161242615
"27","S3",TRUE,TRUE,24,"E590_zeroed_5",194826.4,"24 h","XS3","XS3 (0.774)","X3",258294,0.754281555127103
"28","S4",TRUE,TRUE,24,"E590_zeroed_5",218297.4,"24 h","XS4","XS4 (0.861)","X4",258294,0.845150874584775
"29","S5",TRUE,TRUE,24,"E590_zeroed_5",197315.4,"24 h","XS5","XS5 (1.000)","X5",258294,0.763917861042068
"30","Mock",TRUE,TRUE,24,"E590_zeroed_5",280690.4,"24 h","Mock","Mock","Ctrl",258294,1.08670894407148
"31","S1",TRUE,TRUE,48,"E590_zeroed_1",353422.2,"48 h","XS1","XS1 (0.588)","X1",616214,0.573538089040496
"32","S2",TRUE,TRUE,48,"E590_zeroed_1",371495.2,"48 h","XS2","XS2 (0.705)","X2",616214,0.602867185750405
"33","S3",TRUE,TRUE,48,"E590_zeroed_1",366309.2,"48 h","XS3","XS3 (0.774)","X3",616214,0.594451278289685
"34","S4",TRUE,TRUE,48,"E590_zeroed_1",333415.2,"48 h","XS4","XS4 (0.861)","X4",616214,0.541070472270997
"35","S5",TRUE,TRUE,48,"E590_zeroed_1",317612.2,"48 h","XS5","XS5 (1.000)","X5",616214,0.515425160739613
"36","Mock",TRUE,TRUE,48,"E590_zeroed_1",610936.2,"48 h","Mock","Mock","Ctrl",616214,0.991435118319285
"37","S1",TRUE,TRUE,48,"E590_zeroed_2",380963.2,"48 h","XS1","XS1 (0.588)","X1",616214,0.61823197785185
"38","S2",TRUE,TRUE,48,"E590_zeroed_2",373221.2,"48 h","XS2","XS2 (0.705)","X2",616214,0.605668160736368
"39","S3",TRUE,TRUE,48,"E590_zeroed_2",335244.2,"48 h","XS3","XS3 (0.774)","X3",616214,0.544038596980919
"40","S4",TRUE,TRUE,48,"E590_zeroed_2",345861.2,"48 h","XS4","XS4 (0.861)","X4",616214,0.561268001051583
"41","S5",TRUE,TRUE,48,"E590_zeroed_2",320472.2,"48 h","XS5","XS5 (1.000)","X5",616214,0.520066405501985
"42","Mock",TRUE,TRUE,48,"E590_zeroed_2",608862.2,"48 h","Mock","Mock","Ctrl",616214,0.988069404460139
"43","S1",TRUE,TRUE,48,"E590_zeroed_3",406475.2,"48 h","XS1","XS1 (0.588)","X1",616214,0.659633179382487
"44","S2",TRUE,TRUE,48,"E590_zeroed_3",376510.2,"48 h","XS2","XS2 (0.705)","X2",616214,0.611005592213095
"45","S3",TRUE,TRUE,48,"E590_zeroed_3",316838.2,"48 h","XS3","XS3 (0.774)","X3",616214,0.514169103590636
"46","S4",TRUE,TRUE,48,"E590_zeroed_3",332553.2,"48 h","XS4","XS4 (0.861)","X4",616214,0.539671607590869
"47","S5",TRUE,TRUE,48,"E590_zeroed_3",329072.2,"48 h","XS5","XS5 (1.000)","X5",616214,0.534022596046179
"48","Mock",TRUE,TRUE,48,"E590_zeroed_3",620271.2,"48 h","Mock","Mock","Ctrl",616214,1.00658407631115
"49","S1",TRUE,TRUE,48,"E590_zeroed_4",389595.2,"48 h","XS1","XS1 (0.588)","X1",616214,0.632240098407371
"50","S2",TRUE,TRUE,48,"E590_zeroed_4",369518.2,"48 h","XS2","XS2 (0.705)","X2",616214,0.599658884738094
"51","S3",TRUE,TRUE,48,"E590_zeroed_4",328591.2,"48 h","XS3","XS3 (0.774)","X3",616214,0.533242023063416
"52","S4",TRUE,TRUE,48,"E590_zeroed_4",343414.2,"48 h","XS4","XS4 (0.861)","X4",616214,0.557296977997903
"53","S5",TRUE,TRUE,48,"E590_zeroed_4",315958.2,"48 h","XS5","XS5 (1.000)","X5",616214,0.512741028279137
"54","Mock",TRUE,TRUE,48,"E590_zeroed_4",618408.2,"48 h","Mock","Mock","Ctrl",616214,1.00356077596419
"55","S1",TRUE,TRUE,48,"E590_zeroed_5",342598.2,"48 h","XS1","XS1 (0.588)","X1",616214,0.555972762709059
"56","S2",TRUE,TRUE,48,"E590_zeroed_5",375382.2,"48 h","XS2","XS2 (0.705)","X2",616214,0.60917505931381
