Class	Species	UMAP1	UMAP2
fish	Acanthochromis_polyacanthus.ASM210954v1	-1.46799053727247	-14.8979859338414
bird	Accipiter_nisus.Accipiter_nisus_ver1.0	7.84121066239578	-2.94391120500682
eudicotyledons_Plant	Actinidia_chinensis.Red5_PS1_1.69.0	2.85520079358309	1.3662930136912
Liliopsida_Plant	Aegilops_tauschii.Aet_v4.0	7.86367404624897	1.90888036194007
other mammals	Ailuropoda_melanoleuca.ASM200744v2	9.96733991048971	-1.83264687789533
bird	Amazona_collaria.ASM394721v1	7.61370817194373	-3.0127762470345
other plants	Amborella_trichopoda.AMTR1.0	3.36007740514216	1.96239475419163
fish	Amphilophus_citrinellus.Midas_v5	-1.71413157578854	-14.9665711962149
fish	Amphiprion_ocellaris.AmpOce1.0	-1.47790760488233	-14.863847665024
fish	Amphiprion_percula.Nemo_v1	-1.49156565268265	-14.8634973189618
fish	Anabas_testudineus.fAnaTes1.2	-2.06565251733277	-15.1310852169477
Liliopsida_Plant	Ananas_comosus.F153	6.96863862082126	2.00543767930401
bird	Anas_platyrhynchos.ASM874695v1	7.15789128320001	-3.09795157725961
bird	Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	7.21478825263487	-3.0926113770466
bird	Anas_zonorhyncha.ASM222487v1	7.08208992764695	-3.12120218069197
reptile	Anolis_carolinensis.AnoCar2.0v2	9.23752965710364	-2.33950303572842
bird	Anser_brachyrhynchus.ASM259213v1	7.28700912262241	-3.07076582780461
bird	Anser_cygnoides.GooseV1.0	7.42024854419234	-3.04745253579364
other mammals	Aotus_nancymaae.Anan_2.0	10.3768133218127	-1.693796424416
bird	Apteryx_haastii.aptHaa1	8.54413951103345	-2.67427526834936
bird	Apteryx_owenii.aptOwe1	8.27440465558482	-2.78813912536896
bird	Apteryx_rowi.aptRow1	8.27152819481018	-2.78898471981466
bird	Aquila_chrysaetos_chrysaetos.bAquChr1.2	8.06479498280699	-2.86413857944865
eudicotyledons_Plant	Arabidopsis_halleri.Ahal2.2	4.00291635211809	2.35009824539918
eudicotyledons_Plant	Arabidopsis_lyrata.v.1.0	4.02822891525749	2.34306486263107
eudicotyledons_Plant	Arabidopsis_thaliana.TAIR10	4.03657793541495	2.35454408364458
eudicotyledons_Plant	Arabis_alpina.A_alpina_V4	4.00749771407553	2.36389717537229
bat	Artibeus_jamaicensis.GCF_021234435.1_CSHL_Jam_final	10.169214567455	-0.834535385623952
Liliopsida_Plant	Asparagus_officinalis.Aspof.V1	3.08859823556592	1.59157107712034
fish	Astatotilapia_calliptera.fAstCal1.2	-1.64181430700622	-14.9323213929364
fish	Astyanax_mexicanus.Astyanax_mexicanus-2.0	-2.22781863226216	-15.1909141084585
fish	Astyanax_mexicanus_pachon.Astyanax_mexicanus-1.0.2	-2.27447565823597	-15.1677825631391
bird	Athene_cunicularia.athCun1	8.37994296728781	-2.74353708295122
other mammals	Balaenoptera_musculus.mBalMus1.v2	10.790832060545	-1.12607688604448
eudicotyledons_Plant	Beta_vulgaris.RefBeet-1.2.2	3.89790976382899	2.39095321402883
fish	Betta_splendens.fBetSpl5.2	-2.1404351429826	-15.2274036905187
other mammals	Bison_bison_bison.Bison_UMD1.0	10.8367072209126	-1.42867027052471
other mammals	Bos_grunniens.LU_Bosgru_v3.0	10.8208871872729	-1.38618478642872
other mammals	Bos_indicus_hybrid.UOA_Brahman_1	10.7384260059998	-1.25242993920938
other mammals	Bos_mutus.BosGru_v2.0	10.8543254572587	-1.29317788761159
other mammals	Bos_taurus.ARS-UCD1.3	10.8054094372559	-1.54022326931898
other mammals	Bos_taurus_hybrid.UOA_Angus_1	10.7579245290726	-1.28777351200687
Liliopsida_Plant	Brachypodium_distachyon.Brachypodium_distachyon_v3.0	7.06474366188573	2.04195499204803
eudicotyledons_Plant	Brassica_juncea.ASM1870372v1	4.17597763581145	2.28801144775291
eudicotyledons_Plant	Brassica_napus.AST_PRJEB5043_v1	4.15331301264127	2.27726349128241
eudicotyledons_Plant	Brassica_oleracea.BOL	4.15796190323461	2.28447163283922
eudicotyledons_Plant	Brassica_rapa.Brapa_1.0	4.17676613215212	2.29951691126281
eudicotyledons_Plant	Brassica_rapa_ro18.SCU_BraROA_2.3	4.16513360126291	2.28998909863695
bird	Bubo_bubo.BubBub1.0	8.19778450831511	-2.81678733663264
bird	Buteo_japonicus.ButJap1.0	8.21278788724856	-2.81125571244481
bird	Cairina_moschata_domestica.CaiMos1.0	7.15361582102334	-3.09926661056563
bird	Calidris_pugnax.ASM143184v1	7.75061326047963	-2.96560722811884
bird	Calidris_pygmaea.ASM369795v1	7.81082032100714	-2.99918553878743
other mammals	Callithrix_jacchus.mCalJac1.pat.X	10.8013474008957	-1.44316129328905
fish	Callorhinchus_milii.Callorhinchus_milii-6.1.3	8.71261076048876	-2.59781275987881
bird	Camarhynchus_parvulus.Camarhynchus_parvulus_V1.1	6.66544920178773	-3.12183382899261
eudicotyledons_Plant	Camelina_sativa.Cs	4.05265181388402	2.36635291942962
other mammals	Camelus_dromedarius.CamDro2	10.1627781625604	-0.80921494240485
other mammals	Canis_lupus_dingo.ASM325472v1	10.7321312702728	-1.74531942103826
other mammals	Canis_lupus_familiaris.ROS_Cfam_1.0	10.7642959741026	-1.74122532640804
other mammals	Canis_lupus_familiarisbasenji.Basenji_breed-1.1	10.7573831061947	-1.6886185854769
other mammals	Canis_lupus_familiarisboxer.Dog10K_Boxer_Tasha	10.7608558238755	-1.72579041509976
other mammals	Canis_lupus_familiarisgreatdane.UMICH_Zoey_3.1	10.7168916762362	-1.75442362392406
other mammals	Canis_lupus_familiarisgsd.UU_Cfam_GSD_1.0	10.7773296164227	-1.69206698324588
other mammals	Capra_hircus.ARS1	10.7942315861756	-1.22739791985938
other mammals	Capra_hircus_blackbengal.CVASU_BBG_1.0	10.8183947723562	-1.34012058145178
eudicotyledons_Plant	Capsicum_annuum.ASM51225v2	3.77369078746863	2.32970262941483
fish	Carassius_auratus.ASM336829v1	-2.34064304091233	-15.2300364069906
other mammals	Carlito_syrichta.Tarsius_syrichta-2.0.1	10.4285781880972	-1.09876527141824
other mammals	Castor_canadensis.C.can_genome_v1.0	10.2784508485075	-1.5207449502617
other mammals	Catagonus_wagneri.CatWag_v2_BIUU_UCD	10.4355287390503	-0.802551916482004
bird	Catharus_ustulatus.bCatUst1.pri	6.66791033085042	-3.10755427097693
other mammals	Cavia_aperea.CavAp1.0	10.2649680932652	-1.09480843175364
other mammals	Cavia_porcellus.Cavpor3.0	10.1274069558605	-0.791888263582435
other mammals	Cebus_imitator.Cebus_imitator-1.0	10.3294819588174	-1.56135632219431
other mammals	Cercocebus_atys.Caty_1.0	10.2291092508619	-1.54930124773532
other mammals	Cervus_hanglu_yarkandensis.CEY_v1	10.8230192326211	-1.39508589450712
reptile	Chelonoidis_abingdonii.ASM359739v1	8.75072361179043	-2.58183453191249
reptile	Chelydra_serpentina.Chelydra_serpentina-1.0	8.72404180232049	-2.6133662486024
eudicotyledons_Plant	Chenopodium_quinoa.ASM168347v1	3.85479513616779	2.35725393367717
other mammals	Chinchilla_lanigera.ChiLan1.0	10.2088850917759	-0.791880873615646
other mammals	Chlorocebus_sabaeus.ChlSab1.1	10.1756814683522	-1.08368276006655
other mammals	Choloepus_hoffmanni.choHof1	10.4090032536474	-2.05144342133388
reptile	Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3	8.68767830694723	-2.61673552189457
bird	Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0	7.91023604455008	-2.92986846969732
eudicotyledons_Plant	Citrullus_lanatus.Cla97_v1	3.50698778368466	2.08576324236739
eudicotyledons_Plant	Citrus_clementina.Citrus_clementina_v1.0	3.34543965030771	1.92440275582069
fish	Clupea_harengus.Ch_v2.0.2	-2.0561834964881	-15.0479612958926
eudicotyledons_Plant	Coffea_canephora.AUK_PRJEB4211_v1	3.34856694208403	1.95758377415295
other mammals	Colobus_angolensis_palliatus.Cang.pa_1.0	10.267360683178	-1.47629675955329
eudicotyledons_Plant	Corchorus_capsularis.CCACVL1_1.0	3.46763407592729	2.04374309918621
bird	Corvus_moneduloides.bCorMon1.pri	6.76510687174441	-3.17414634396088
eudicotyledons_Plant	Corylus_avellana.CavTom2PMs-1.0	2.90833813377163	1.43577008099657
fish	Cottoperca_gobio.fCotGob3.1	-1.87306641855108	-15.0225226924226
bird	Coturnix_japonica.Coturnix_japonica_2.0	7.82079350114427	-2.99720700424646
other mammals	Cricetulus_griseus_chok1gshd.CHOK1GS_HDv1	10.5625515943227	-0.817530534555136
other mammals	Cricetulus_griseus_crigri.CriGri_1.0	10.5698953687724	-0.939348292789322
other mammals	Cricetulus_griseus_picr.CriGri-PICRH-1.0	10.5931027903479	-0.766013578884085
reptile	Crocodylus_porosus.CroPor_comp1	8.24834217957629	-2.79864585132246
eudicotyledons_Plant	Cucumis_melo.Melonv4	3.57018305428977	2.15493432371035
eudicotyledons_Plant	Cucumis_sativus.ASM407v2	3.58195946977882	2.15610227100977
bird	Cyanistes_caeruleus.cyaCae2	6.79491891305047	-3.18356215508247
fish	Cyclopterus_lumpus.fCycLum1.pri	-1.29501977819817	-15.1782036228868
eudicotyledons_Plant	Cynara_cardunculus.CcrdV1	3.56790390279423	2.13476645824335
fish	Cynoglossus_semilaevis.Cse_v1.0	-2.14898322151573	-15.201438126281
fish	Cyprinodon_variegatus.C_variegatus-1.0	-1.97730581737602	-15.2469489724334
fish	Cyprinus_carpio_carpio.Cypcar_WagV4.0	-2.34201212395897	-15.2437636639861
fish	Cyprinus_carpio_germanmirror.German_Mirror_carp_1.0	-2.28632068272706	-15.2102422476115
fish	Cyprinus_carpio_hebaored.Hebao_red_carp_1.0	-2.39993115741276	-15.2629831998288
fish	Cyprinus_carpio_huanghe.Hunaghe_carp_2.0	-2.34838269179974	-15.2306677987778
fish	Danio_rerio.GRCz11	-2.30486311632674	-15.1892519312063
other mammals	Dasypus_novemcinctus.Dasnov3.0	10.6009446095952	-1.77224548515353
eudicotyledons_Plant	Daucus_carota.ASM162521v1	3.44629975335352	2.02479694142296
other mammals	Delphinapterus_leucas.ASM228892v3	10.8242044725858	-1.19395668277545
fish	Denticeps_clupeoides.fDenClu1.1	-1.18455359272346	-15.224218035358
fish	Dicentrarchus_labrax.dlabrax2021	-1.46749071882236	-14.9061815444415
Liliopsida_Plant	Digitaria_exilis.Fonio_CM05836	7.06811405070097	2.04856846775467
other mammals	Dipodomys_ordii.Dord_2.0	10.2818747986681	-1.32663544742024
bird	Dromaius_novaehollandiae.droNov1	8.33231223421003	-2.76509554326708
fish	Echeneis_naucrates.fEcheNa1.1	-2.03319144540635	-15.1185254617705
other mammals	Echinops_telfairi.TENREC	10.0537572021362	-0.731761510129628
fish	Electrophorus_electricus.Ee_SOAP_WITH_SSPACE	-2.34059032674935	-15.2043767777032
fish	Eptatretus_burgeri.Eburgeri_3.2	1.84369090783278	-0.688754803671816
bat	Eptesicus_fuscus.GCF_027574615.1_DD_ASM_mEF_20220401	10.287055646027	-0.796909648495567
other mammals	Equus_asinus.ASM1607732v2	10.0592964504887	-0.755974282282769
other mammals	Equus_caballus.EquCab3.0	10.0227800172748	-0.732423825516435
Liliopsida_Plant	Eragrostis_curvula.CERZOS_E.curvula1.0	7.05673211198019	2.03522365494862
Liliopsida_Plant	Eragrostis_tef.Salk_teff_dabbi_3.0	7.05111111574491	2.01464812837261
other mammals	Erinaceus_europaeus.HEDGEHOG	10.2231543372114	-0.710679692598275
fish	Erpetoichthys_calabaricus.fErpCal1.1	9.2899069330318	-2.339720040849
bird	Erythrura_gouldiae.GouldianFinch	6.67045485474825	-3.15160596461225
fish	Esox_lucius.Eluc_v4	-2.01974420913055	-14.9298901848115
eudicotyledons_Plant	Eucalyptus_grandis.Egrandis1_0	2.9027551545547	1.18091355295223
eudicotyledons_Plant	Eutrema_salsugineum.Eutsalg1_0	4.13378043136241	2.27977988001945
bird	Falco_tinnunculus.FalTin1.0	8.17856337860826	-2.82564031950779
other mammals	Felis_catus.Felis_catus_9.0	10.4592096021919	-1.63332261601531
bird	Ficedula_albicollis.FicAlb1.5	6.75337571318764	-3.16454903997818
eudicotyledons_Plant	Ficus_carica.UNIPI_FiCari_1.0	3.00840940829975	1.41184907155892
eudicotyledons_Plant	Fraxinus_excelsior.BATG-0.5	3.30417413134551	1.87859874224109
other mammals	Fukomys_damarensis.DMR_v1.0	10.3141104893869	-1.39347525385788
fish	Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2	-1.18926934545503	-15.2366110272456
RNA virus	Sclerophthora macrospora virus A :Sclerophthora macrospora virus A:ssRNA(+)::GCF_000820355.1	1.20706673549418	2.79883323608095
RNA virus	Influenza B virus (B/Lee/1940) :Betainfluenzavirus influenzae:ssRNA(-)::GCF_000820495.2	-4.070576711627	-0.997258013220958
DNA virus	Alphapapillomavirus 12 :Alphapapillomavirus 12:dsDNA::GCF_000836865.1	-1.28757409511006	-2.71780231206445
DNA virus	Betapolyomavirus secumuris :Betapolyomavirus secumuris:dsDNA::GCF_000837065.1	-4.53077165600425	-0.728037634363933
DNA virus	Kappapapillomavirus 2 :Kappapapillomavirus 2:dsDNA::GCF_000837085.1	-2.27670040418291	-1.23588565470482
DNA virus	Tomato mottle virus :Tomato mottle virus:ssDNA(+/-)::GCF_000837105.1	1.42958370832589	4.07314530829848
DNA virus	Tomato rugose mosaic virus :Tomato rugose mosaic virus:ssDNA(+/-)::GCF_000837205.1	1.12827446711868	4.22359214688963
DNA virus	Cucurbit leaf crumple virus :Cucurbit leaf crumple virus:ssDNA(+/-)::GCF_000837305.1	1.04189059142222	3.78536173344941
DNA virus	Goose circovirus :Circovirus goose:ssDNA(+/-):Anser sp.:GCF_000837325.1	0.0951594562495761	-0.152663024289186
DNA virus	Watermelon chlorotic stunt virus :Watermelon chlorotic stunt virus:ssDNA(+/-):Citrullus lanatus subsp. vulgaris:GCF_000837565.1	1.36597554644514	-0.110951919041692
DNA virus	Squash leaf curl virus :Squash leaf curl virus:ssDNA(+/-)::GCF_000837705.1	1.04917751325679	3.84581589633789
DNA virus	Porcine circovirus 1 :Circovirus porcine1:ssDNA(+/-)::GCF_000837765.1	1.19983894675694	-1.21535432809261
DNA virus	Sida golden mosaic virus :Sida golden mosaic virus:ssDNA(+/-)::GCF_000837905.1	2.02750374441324	4.1248773682089
DNA virus	Citrus yellow mosaic virus :Badnavirus tessellocitri:dsDNA-RT::GCF_000838245.1	-2.48575196801096	0.55898117257773
DNA virus	Human gammaherpesvirus 8 :Rhadinovirus humangamma8:dsDNA:Homo sapiens:GCF_000838265.1	1.96834709544349	-1.41038597623539
DNA virus	Tomato chlorotic mottle virus :Tomato chlorotic mottle virus:ssDNA(+/-)::GCF_000838345.1	1.13298217688843	4.11144894748282
DNA virus	South African cassava mosaic virus :South African cassava mosaic virus:ssDNA(+/-)::GCF_000838365.1	1.08793470300617	4.45721322220718
DNA virus	Chino del tomate virus :Chino del tomate virus:ssDNA(+/-)::GCF_000838385.1	2.04637944412987	4.1134201357458
DNA virus	Cabbage leaf curl virus :Cabbage leaf curl virus:ssDNA(+/-)::GCF_000838405.1	0.849454106206575	4.25904729017924
DNA virus	Tomato leaf curl virus :Tomato leaf curl virus:ssDNA(+/-)::GCF_000838425.1	0.62708696485453	5.22087763074011
DNA virus	Pepper leaf curl virus :Pepper leaf curl virus:ssDNA(+/-)::GCF_000838585.1	1.10418400629541	4.67481857188717
DNA virus	Fowlpox virus :Fowlpox virus:dsDNA::GCF_000838605.1	-5.11447669298879	-3.00641394247484
DNA virus	adeno-associated virus 2 :Dependoparvovirus primate1:ssDNA(+/-)::GCF_000838645.1	2.34441064389468	-1.62407541550093
DNA virus	Potato yellow mosaic virus :Potato yellow mosaic virus:ssDNA(+/-)::GCF_000838665.1	1.5371731063905	4.31617447405493
DNA virus	Digitaria streak virus :Digitaria streak virus:ssDNA(+/-)::GCF_000838685.1	2.3263133745852	1.30771779929992
DNA virus	Tomato mottle Taino virus :Tomato mottle Taino virus:ssDNA(+/-)::GCF_000838745.1	1.6202633583226	4.17178707648256
DNA virus	Cotton leaf curl Gezira virus :Cotton leaf curl Gezira virus:ssDNA(+/-)::GCF_000838805.1	1.62521962379105	4.88464713797439
DNA virus	Tobacco leaf curl Zimbabwe virus :Tobacco leaf curl Zimbabwe virus:ssDNA(+/-)::GCF_000838925.1	1.12630178273838	5.05778871569203
