Organism_name	Host_Class	Virus_Class	Host_genus	CAI	Host	median	CodonSum
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	bird	RNA virus	Accipiter	0.556590476426463	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	bird	RNA virus	Accipiter	0.544776880623163	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	4576
Chicken astrovirus :Chicken astrovirus:ssRNA(+)::GCF_000852205.1	bird	RNA virus	Accipiter	0.575610980762676	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	2195
Columbid alphaherpesvirus 1 :Mardivirus columbidalpha1:dsDNA:Columba livia:GCF_002116095.1	bird	DNA virus	Accipiter	0.657236725108256	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	54221
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000861085.1	bird	RNA virus	Accipiter	0.627938661777219	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	4621
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000875385.1	bird	RNA virus	Accipiter	0.625404592965013	Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	7181
Actinidia chlorotic ringspot-associated virus :Emaravirus actinidiae:ssRNA(-):Actinidia deliciosa:GCF_002867245.1	eudicotyledons_Plant	RNA virus	Actinidia	0.648776149899456	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3871
Actinidia cytorhabdovirus JS27 :Actinidia cytorhabdovirus JS27:ssRNA(-):Actinidia deliciosa:GCF_029885955.1	eudicotyledons_Plant	RNA virus	Actinidia	0.653448997848412	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	4063
Actinidia seed borne latent virus :Actinidia seed borne latent virus:ssRNA(+)::GCF_004131265.1	eudicotyledons_Plant	RNA virus	Actinidia	0.680699681846773	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2827
Actinidia virus 1 :Actinidia virus 1:ssRNA(+):Actinidia chinensis:GCF_002270905.1	eudicotyledons_Plant	RNA virus	Actinidia	0.66295304234791	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	5267
Actinidia yellowing virus 1 :Waikavirus actinidiae:ssRNA(+):Actinidia:GCF_023131635.1	eudicotyledons_Plant	RNA virus	Actinidia	0.747330045629523	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3688
Alfalfa mosaic virus :Alfalfa mosaic virus:ssRNA(+)::GCF_000847525.1	eudicotyledons_Plant	RNA virus	Actinidia	0.687609097463525	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2437
Apple stem grooving virus :Apple stem grooving virus:ssRNA(+)::GCF_000859505.1	eudicotyledons_Plant	RNA virus	Actinidia	0.693974283076769	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2425
Apple stem pitting virus :Apple stem pitting virus:ssRNA(+)::GCF_000850465.1	eudicotyledons_Plant	RNA virus	Actinidia	0.734248463863084	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3010
Cherry leaf roll virus :Nepovirus avii:ssRNA(+):Rheum:GCF_000893515.1	eudicotyledons_Plant	RNA virus	Actinidia	0.716469185262614	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3701
Citrus leaf blotch virus :Citrus leaf blotch virus:ssRNA(+)::GCF_000852305.1	eudicotyledons_Plant	RNA virus	Actinidia	0.685316877603812	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2687
Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1	eudicotyledons_Plant	RNA virus	Actinidia	0.703122420312353	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2457
Cucumber necrosis virus :Tombusvirus cucumis:ssRNA(+)::GCF_000848185.1	eudicotyledons_Plant	RNA virus	Actinidia	0.704989816584337	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	1856
Emaravirus kiwii :Emaravirus kiwii:ssRNA(-):Actinidia deliciosa:GCF_018595345.1	eudicotyledons_Plant	RNA virus	Actinidia	0.648582507018497	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	4321
Lychnis mottle virus :Stralarivirus lychnis:ssRNA(+):Silene cognata:GCF_023156915.1	eudicotyledons_Plant	RNA virus	Actinidia	0.733218474163493	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	3254
Potato virus X :Potato virus X:ssRNA(+)::GCF_000866465.1	eudicotyledons_Plant	RNA virus	Actinidia	0.705332909662422	Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	2104
