Tr_ID,Class,CAI,CodonSum
AmpR,Virus,0.59367861006295,286
ENST00000000233,Host,0.776678492416421,180
ENST00000000412,Host,0.691201891051613,277
ENST00000000442,Host,0.796721108677441,423
ENST00000001008,Host,0.763239900561045,459
ENST00000001146,Host,0.844631843559819,512
ENST00000002125,Host,0.62293438431489,441
ENST00000002165,Host,0.677903307496515,450
ENST00000002501,Host,0.771805192855431,158
ENST00000002596,Host,0.779666610352682,307
ENST00000002829,Host,0.794643731995311,778
ENST00000003084,Host,0.614854235427157,1474
ENST00000003100,Host,0.640568341778498,506
ENST00000003302,Host,0.658905968704596,1077
ENST00000003583,Host,0.710913218193302,287
ENST00000003912,Host,0.724195977511216,324
ENST00000004103,Host,0.756957365102172,235
ENST00000004531,Host,0.649469189615789,698
ENST00000004982,Host,0.736201034219058,160
ENST00000005082,Host,0.682247885435194,556
ENST00000005178,Host,0.648957785437858,411
ENST00000005180,Host,0.68895707171186,94
ENST00000005226,Host,0.767877326683535,878
ENST00000005257,Host,0.670332316721162,201
ENST00000005259,Host,0.594465804178804,228
ENST00000005260,Host,0.692469702705601,511
ENST00000005284,Host,0.731085179985282,315
ENST00000005286,Host,0.791740661885244,987
ENST00000005340,Host,0.786269261702395,736
ENST00000005374,Host,0.693518310402756,114
ENST00000005386,Host,0.597185473487722,652
ENST00000005558,Host,0.638852571437828,430
ENST00000005756,Host,0.658301197141512,317
ENST00000005995,Host,0.743741652046083,304
ENST00000006015,Host,0.797869686404838,263
ENST00000006053,Host,0.757661295735899,376
ENST00000006251,Host,0.831603735697304,379
ENST00000006275,Host,0.780667319086876,173
ENST00000006658,Host,0.794181369807065,785
ENST00000006724,Host,0.663767625572684,265
ENST00000006750,Host,0.801615013937706,229
ENST00000006777,Host,0.794156765475319,364
ENST00000007264,Host,0.833362528810597,312
ENST00000007390,Host,0.793465667428031,303
ENST00000007414,Host,0.79825377858053,837
ENST00000007510,Host,0.790501720301996,721
ENST00000007516,Host,0.627862615827073,156
ENST00000007699,Host,0.740980996520444,275
ENST00000007708,Host,0.818219959222557,343
ENST00000007722,Host,0.795448099211766,1054
ENST00000007735,Host,0.870709351242972,404
ENST00000007969,Host,0.776074672228303,322
ENST00000008180,Host,0.788107358999663,168
ENST00000008391,Host,0.674311068301779,452
ENST00000008440,Host,0.695535385411618,207
ENST00000008527,Host,0.649183196967565,577
ENST00000008938,Host,0.780141983950526,196
ENST00000009041,Host,0.617827631638629,234
ENST00000009105,Host,0.772753978086848,476
ENST00000009180,Host,0.772390618659282,228
ENST00000009530,Host,0.824989956436941,296
ENST00000009589,Host,0.671724290227111,119
ENST00000010132,Host,0.735925037137869,520
ENST00000010299,Host,0.73216180450934,306
ENST00000010404,Host,0.637202751509419,155
ENST00000011292,Host,0.813590094413312,419
ENST00000011473,Host,0.640819853144973,250
ENST00000011619,Host,0.628570267177593,656
ENST00000011653,Host,0.740782369018946,458
ENST00000011684,Host,0.792067502110178,790
ENST00000011691,Host,0.727472463499491,71
ENST00000011898,Host,0.793241610792811,239
ENST00000011989,Host,0.7684584212774,520
ENST00000012049,Host,0.734463060029977,382
ENST00000012134,Host,0.679555437732406,2404
ENST00000012443,Host,0.803395745942189,499
ENST00000013034,Host,0.701081310187512,177
ENST00000013070,Host,0.679254570007098,425
ENST00000013125,Host,0.610545258208157,840
ENST00000013222,Host,0.774371691184251,263
ENST00000013807,Host,0.768024633562604,314
ENST00000013894,Host,0.640334212415738,44
ENST00000014914,Host,0.736235009769763,357
ENST00000014930,Host,0.718101590777537,189
ENST00000014935,Host,0.808317639233495,302
ENST00000016171,Host,0.662388112233193,410
ENST00000016913,Host,0.660305076449039,258
ENST00000016946,Host,0.599108299407598,1747
ENST00000017003,Host,0.80685827601569,861
ENST00000019019,Host,0.789969591203319,327
ENST00000019103,Host,0.770417607923477,440
ENST00000019317,Host,0.708302514509957,567
ENST00000020673,Host,0.794034227324384,1002
ENST00000020926,Host,0.781718044756336,426
ENST00000020945,Host,0.737346201111611,268
ENST00000022615,Host,0.675556962669677,283
ENST00000023064,Host,0.735027475918207,487
ENST00000023897,Host,0.653132209849944,456
ENST00000023939,Host,0.707490292931643,336
ENST00000024061,Host,0.80310538554963,795
ENST00000025008,Host,0.573599358982693,1594
ENST00000025301,Host,0.617448822378694,1893
ENST00000025399,Host,0.625866139210553,363
ENST00000026218,Host,0.781754856188655,753
ENST00000027335,Host,0.665475108862386,832
ENST00000028008,Host,0.671123689505345,71
ENST00000029410,Host,0.817168121126988,327
ENST00000031146,Host,0.654815894699403,241
ENST00000033079,Host,0.615133675780718,915
ENST00000034275,Host,0.74283317397154,499
ENST00000035307,Host,0.756109942354698,757
ENST00000037243,Host,0.732432947851391,117
ENST00000037502,Host,0.748136708625967,490
ENST00000037869,Host,0.817782684408465,138
ENST00000038176,Host,0.657270665368112,917
ENST00000039007,Host,0.63902378607406,354
ENST00000039989,Host,0.647080503815575,1141
ENST00000040584,Host,0.73838232383438,220
