Abaca bunchy top virus:Abaca bunchy top virus	Musa	Abaca bunchy top virus :Abaca bunchy top virus:ssDNA(+):Musa sp.:GCF_000872625.1
Abalone shriveling syndrome-associated virus:Abalone shriveling syndrome-associated virus	Haliotis	Abalone shriveling syndrome-associated virus :Abalone shriveling syndrome-associated virus:dsDNA:Haliotis diversicolor aquatilis:GCF_000882555.1
Abisko virus:Abisko virus	Epirrita	Abisko virus :Abisko virus:RNA:Epirrita autumnata:GCF_002270725.1
Abras virus:Orthobunyavirus abrasense	Culex	Abras virus :Orthobunyavirus abrasense:ssRNA(-):Culex paracrybda:GCF_009732215.1
Abu Hammad virus:Orthonairovirus abuhammadense	Argas	Abu Hammad virus :Orthonairovirus abuhammadense:ssRNA(-):Columbidae:GCF_014883235.1
Abu Hammad virus:Orthonairovirus abuhammadense	Columbidae	Abu Hammad virus :Orthonairovirus abuhammadense:ssRNA(-):Columbidae:GCF_014883235.1
Abu Mina virus:Orthonairovirus abuminaense	Streptopelia	Abu Mina virus :Orthonairovirus abuminaense:ssRNA(-):Streptopelia turtur:GCF_014883245.1
Abutilon Brazil virus:Abutilon Brazil virus	Abutilon	Abutilon Brazil virus :Abutilon Brazil virus:ssDNA(+/-):Abutilon:GCF_000889055.1
Abutilon golden mosaic Yucatan virus:Abutilon golden mosaic virus	Abutilon	Abutilon golden mosaic Yucatan virus :Abutilon golden mosaic virus:ssDNA(+/-):Abutilon permolle:GCF_002821485.1
Abutilon mosaic Bolivia virus:Abutilon mosaic Bolivia virus	Abutilon	Abutilon mosaic Bolivia virus :Abutilon mosaic Bolivia virus:ssDNA(+/-):Abutilon:GCF_000890575.1
Abutilon mosaic Brazil virus:Abutilon mosaic Brazil virus	Blainvillea	Abutilon mosaic Brazil virus :Abutilon mosaic Brazil virus:ssDNA(+/-):Sida rhombifolia:GCF_000895175.1
Abutilon mosaic Brazil virus:Abutilon mosaic Brazil virus	Sida	Abutilon mosaic Brazil virus :Abutilon mosaic Brazil virus:ssDNA(+/-):Sida rhombifolia:GCF_000895175.1
Abutilon mosaic virus:Abutilon mosaic virus	Abutilon	Abutilon mosaic virus :Abutilon mosaic virus:ssDNA(+/-):Callianthe sellowiana:GCF_000847225.1
Abutilon mosaic virus:Abutilon mosaic virus	Callianthe	Abutilon mosaic virus :Abutilon mosaic virus:ssDNA(+/-):Callianthe sellowiana:GCF_000847225.1
Acanthamoeba castellanii medusavirus:Acanthamoeba castellanii medusavirus	Acanthamoeba	Acanthamoeba castellanii medusavirus :Acanthamoeba castellanii medusavirus:unknown:Acanthamoeba castellanii:GCF_029885805.1
Acanthamoeba castellanii medusavirus:Acanthamoeba castellanii medusavirus	Acanthamoeba	Acanthamoeba castellanii medusavirus :Acanthamoeba castellanii medusavirus:unknown::GCF_029882485.1
Acanthamoeba polyphaga mimivirus:Mimivirus bradfordmassiliense	Acanthamoeba	Acanthamoeba polyphaga mimivirus :Mimivirus bradfordmassiliense:dsDNA:Acanthamoeba castellanii:GCF_000888735.1
Acanthamoeba polyphaga mimivirus:Mimivirus bradfordmassiliense	Acanthamoeba	Acanthamoeba polyphaga mimivirus :Mimivirus bradfordmassiliense:dsDNA::GCF_002966375.1
Acanthamoeba polyphaga mimivirus:Mimivirus bradfordmassiliense	Amoeba	Acanthamoeba polyphaga mimivirus :Mimivirus bradfordmassiliense:dsDNA:Acanthamoeba castellanii:GCF_000888735.1
Acanthamoeba polyphaga mimivirus:Mimivirus bradfordmassiliense	Amoeba	Acanthamoeba polyphaga mimivirus :Mimivirus bradfordmassiliense:dsDNA::GCF_002966375.1
Acanthocystis turfacea chlorella virus 1:Acanthocystis turfacea chlorella virus 1	Chlorella	Acanthocystis turfacea chlorella virus 1 :Acanthocystis turfacea chlorella virus 1:dsDNA:Chlorella heliozoae:GCF_000869685.1
Acartia tonsa copepod circovirus:Acartia tonsa copepod circovirus	Acartia	Acartia tonsa copepod circovirus :Acartia tonsa copepod circovirus:ssDNA(+/-):Acartia tonsa:GCF_000905055.1
