Host	median	low	high
Acanthochromis_polyacanthus.ASM210954v1	0.5724669	0.44986463	0.707827765
Accipiter_nisus.Accipiter_nisus_ver1.0	0.6345863	0.520559525	0.800046925
Actinidia_chinensis.Red5_PS1_1.69.0	0.7176227	0.66759569	0.789433425
Aegilops_tauschii.Aet_v4.0	0.5504966	0.3110146	0.813097445
Ailuropoda_melanoleuca.ASM200744v2	0.7411168	0.64505806	0.82272536
Amazona_collaria.ASM394721v1	0.6182514	0.4994169525	0.7914600425
Amborella_trichopoda.AMTR1.0	0.7106382	0.639180605	0.7697867125
Amphilophus_citrinellus.Midas_v5	0.57805905	0.4679978	0.693458855
Amphiprion_ocellaris.AmpOce1.0	0.5828364	0.4615759	0.72053422
Amphiprion_percula.Nemo_v1	0.57914255	0.452529935	0.7163247
Anabas_testudineus.fAnaTes1.2	0.5886989	0.48439794	0.70105427
Ananas_comosus.F153	0.64781345	0.546551965	0.859241565
Anas_platyrhynchos.ASM874695v1	0.5870356	0.45661283	0.8113622
Anas_platyrhynchos_platyrhynchos.CAU_duck1.0	0.5966495	0.472150025	0.80321509
Anas_zonorhyncha.ASM222487v1	0.58237305	0.44582775	0.80738171
Anolis_carolinensis.AnoCar2.0v2	0.72760755	0.655328385	0.8062006
Anser_brachyrhynchus.ASM259213v1	0.583315	0.46175378	0.80486212
Anser_cygnoides.GooseV1.0	0.5967326	0.48102642	0.81114618
Aotus_nancymaae.Anan_2.0	0.73393185	0.6410491375	0.8186193125
Apteryx_haastii.aptHaa1	0.685754	0.6001261375	0.7931403875
Apteryx_owenii.aptOwe1	0.6690588	0.576297175	0.807754875
Apteryx_rowi.aptRow1	0.67213705	0.57652651	0.81423172
Aquila_chrysaetos_chrysaetos.bAquChr1.2	0.65600285	0.5503406075	0.8125461075
Arabidopsis_halleri.Ahal2.2	0.6089217	0.546555575	0.68779234
Arabidopsis_lyrata.v.1.0	0.6170898	0.553602595	0.6970213125
Arabidopsis_thaliana.TAIR10	0.603929	0.5396297325	0.686812195
Arabis_alpina.A_alpina_V4	0.6030271	0.532022915	0.6873452125
Artibeus_jamaicensis.GCF_021234435.1_CSHL_Jam_final	0.729645	0.6119927	0.82503635
Asparagus_officinalis.Aspof.V1	0.6790075	0.607717095	0.752647295
Astatotilapia_calliptera.fAstCal1.2	0.5580312	0.4340708625	0.6800613325
Astyanax_mexicanus.Astyanax_mexicanus-2.0	0.597259	0.46671125	0.71386881
Astyanax_mexicanus_pachon.Astyanax_mexicanus-1.0.2	0.59958405	0.48759885	0.7165785125
Athene_cunicularia.athCun1	0.67990745	0.5905933775	0.802529235
Balaenoptera_musculus.mBalMus1.v2	0.7367812	0.63368834	0.82698432
Beta_vulgaris.RefBeet-1.2.2	0.6321054	0.550597575	0.706425715
Betta_splendens.fBetSpl5.2	0.6377181	0.522575675	0.7527244975
Bison_bison_bison.Bison_UMD1.0	0.74267175	0.650610525	0.8242202725
Bos_grunniens.LU_Bosgru_v3.0	0.7362983	0.6504929175	0.8195269025
Bos_indicus_hybrid.UOA_Brahman_1	0.7376048	0.6387878	0.82662215
Bos_mutus.BosGru_v2.0	0.7400039	0.640228945	0.82142686
Bos_taurus.ARS-UCD1.3	0.74906515	0.66395253	0.8266823025
Bos_taurus_hybrid.UOA_Angus_1	0.73936295	0.641106915	0.8263710975
Brachypodium_distachyon.Brachypodium_distachyon_v3.0	0.5627836	0.39466341	0.79831979
Brassica_juncea.ASM1870372v1	0.6038486	0.5290063275	0.699735175
Brassica_napus.AST_PRJEB5043_v1	0.60909585	0.53522189	0.7066543425
Brassica_oleracea.BOL	0.5951119	0.515340405	0.69303722
Brassica_rapa.Brapa_1.0	0.6001718	0.530898435	0.70229002
Brassica_rapa_ro18.SCU_BraROA_2.3	0.6000358	0.52333353	0.69149328
Bubo_bubo.BubBub1.0	0.6632408	0.5716026125	0.8102442125
Buteo_japonicus.ButJap1.0	0.661825	0.563720465	0.806092985
Cairina_moschata_domestica.CaiMos1.0	0.58868095	0.4587091425	0.816365365
Calidris_pugnax.ASM143184v1	0.6219591	0.49836424	0.79818578
Calidris_pygmaea.ASM369795v1	0.63364295	0.5192920725	0.806305985
Callithrix_jacchus.mCalJac1.pat.X	0.7441552	0.6518788525	0.8312480925
Callorhinchus_milii.Callorhinchus_milii-6.1.3	0.69721295	0.616191	0.7912262125
