Organism_name	CAI	Host	CodonSum
Vombatid gammaherpesvirus 1 :Manticavirus vombatidgamma1:dsDNA:Vombatus ursinus:GCF_018583145.1	0.690569338688717	Vombatus_ursinus.bare-nosed_wombat_genome_assembly	32362
Usutu virus :Orthoflavivirus usutuense:ssRNA(+)::GCF_000854945.1	0.495910504082398	Erythrura_gouldiae.GouldianFinch	4631
Infectious pancreatic necrosis virus :Aquabirnavirus salmonidae:dsRNA::GCF_000856525.1	0.550860452325342	Hucho_hucho.ASM331708v1	1965
Castor canadensis papillomavirus 1 :Dyosigmapapillomavirus 1:dsDNA:Castor canadensis:GCF_000914255.1	0.653399781960264	Castor_canadensis.C.can_genome_v1.0	1870
Borna disease virus 1 :Orthobornavirus bornaense:ssRNA(-):Equus:GCF_002366305.1	0.649315370976004	Castor_canadensis.C.can_genome_v1.0	2911
Nymphaea alba virus 1 :Nymphaea alba virus 1:ssRNA(-):Nymphaea alba:GCF_029882905.1	0.715173811331569	Nymphaea_colorata.ASM883128v1	3857
Yellowtail ascites virus :Aquabirnavirus ascitae:dsRNA::GCF_000853245.1	0.588943441417656	Takifugu_rubripes.fTakRub1.2	1779
Tasmanian devil-associated chapparvovirus 6 :Chaphamaparvovirus dasyurid3:ssDNA(+/-):Sarcophilus harrisii:GCF_018585425.1	0.65209738242109	Sarcophilus_harrisii.mSarHar1.11	1053
Tasmanian devil-associated chapparvovirus 1 :Chaphamaparvovirus dasyurid1:ssDNA(+/-):Sarcophilus harrisii:GCF_018585405.1	0.710426017865147	Sarcophilus_harrisii.mSarHar1.11	994
Beluga whale alphaherpesvirus 1 :Varicellovirus monodontidalpha1:dsDNA:Delphinapterus leucas:GCF_004788635.1	0.672796976820333	Delphinapterus_leucas.ASM228892v3	42442
Beluga whale coronavirus SW1 :Beluga whale coronavirus SW1:ssRNA(+):Delphinapterus leucas:GCF_000872845.1	0.660114310216004	Delphinapterus_leucas.ASM228892v3	10164
Plum pox virus :Plum pox virus:ssRNA(+)::GCF_000862085.1	0.688734968045346	Juglans_regia.Walnut_2.0	3125
Cherry leaf roll virus :Nepovirus avii:ssRNA(+):Rheum:GCF_000893515.1	0.693763545777103	Juglans_regia.Walnut_2.0	3701
Dolphin morbillivirus :Morbillivirus ceti:ssRNA(-)::GCF_000857405.1	0.623944900829093	Balaenoptera_musculus.mBalMus1.v2	4880
Dolphin morbillivirus :Morbillivirus ceti:ssRNA(-)::GCF_000857405.1	0.628940425194271	Physeter_catodon.ASM283717v2	4880
simian adenovirus 55 :Simian mastadenovirus I:dsDNA:Rhinopithecus roxellana:GCF_001904845.1	0.723775550276029	Rhinopithecus_roxellana.Rrox_v1	11021
simian adenovirus 55 :Simian mastadenovirus I:dsDNA:Rhinopithecus roxellana:GCF_001904845.1	0.72853998457875	Rhinopithecus_bieti.ASM169854v1	11021
