Geneid,Length,mono_Ctrl_1,mono_Ctrl_2,mono_XS1_1,mono_XS1_2,mono_XS2_1,mono_XS2_2,mono_XS4_1,mono_XS4_2
ENSG00000284662,936,0,0,0,0,0,0,0,0
ENSG00000186827,831,0,0,0,0,0,0,1,0
ENSG00000186891,976,0,0,0,0,0,0,0,0
ENSG00000160072,1944,2046.66,2524.31,2232.05,2478.14,1843.73,2380.54,1913.56,2803.28
ENSG00000041988,1150,390.5,453.5,421.5,457,363.5,463.5,387.5,514.5
ENSG00000142611,3849,277.5,388,385.5,406,313.5,389,277.5,382
ENSG00000067606,1966,599.5,727,656,743,499.5,743,527,752
ENSG00000131584,2549,294,330,352,388,312,421,242,383
ENSG00000169972,909,1092.17,1356.5,1255.33,1531.67,1147.5,1523.5,1185.33,1734
ENSG00000157911,1145,351,424,349,442,305.5,410,310,470.5
ENSG00000224051,642,306,385,376,438,321,478,297,434
ENSG00000157933,2184,918,1034.5,933,1028,781,1028,761,1033
ENSG00000162591,5046,18.5,22,19,17,30,32,14,30
ENSG00000169962,2556,0,1,0,0,0,0,1,0
ENSG00000116285,1471,625,765,740,834,616,894.33,646,948
ENSG00000142655,1139,889,1127,934.67,1160,879,1185,872.5,1204
ENSG00000149527,4916,0,2,0,0,1,0,2,0
ENSG00000007923,2097,2393,2969.5,2769.33,2976,2191.5,3211,2404.5,3603
ENSG00000171621,819,78,146,138,135,127,135,108,158
ENSG00000162441,671,621,835,748.5,820,627,962,586,940.5
ENSG00000187017,4489,21.5,14.67,24.5,24.17,11.17,18.5,13,19.83
ENSG00000285629,159,637.39,736.64,664.14,762.66,557.33,818.48,594.49,893.51
ENSG00000173673,558,0,0,0,2,0,0,0,0
ENSG00000142583,1664,3,3,2,4,3,3,1,2
ENSG00000107404,2093,572,709,627.5,721,567,689.5,510.5,697.5
ENSG00000177000,2246,517,608.5,611,674,461.5,675.5,476,679
ENSG00000069424,2570,123,131,135,143,122,180,109,174
ENSG00000074800,1361,94801.12,116787.5,106799.5,114156.5,93928,132608.08,90744,133322.25
ENSG00000116786,3057,818.5,969.83,854.5,937,707,957.5,721.83,1014.5
ENSG00000176022,987,383,518,453,503,329,477,359,555
ENSG00000162496,906,206,263.5,191.5,246,213,287,196,288
ENSG00000131686,1297,0,0,0,0,0,0,0,0
ENSG00000162494,882,0,2,2,2,4,5,2,3
ENSG00000173614,883,282.33,361.17,271,299,230.67,341.83,243,367.33
ENSG00000279804,1437,0,0,0.2,0,0,0.2,0,0
ENSG00000116273,900,581.5,711,723.5,810,652,910,629,974
ENSG00000162592,1968,0,0,0,1,0,0,0,0
ENSG00000116254,6212,28.5,37.5,33,37.5,33,38,39,41.5
ENSG00000049245,300,1325.5,1601,1505.5,1543,1253.5,1898,1231,1833.5
ENSG00000204624,4210,28,26,23,41,22,29,37,52
ENSG00000171603,3067,4752,5918.11,5337,5735.6,4447.11,6129.71,4208.5,6035.8
ENSG00000142606,2366,6,6,4,7,9,10,9,7
ENSG00000177674,831,1076.5,1207.5,1316,1370.5,934.5,1315,1062,1486
ENSG00000162572,2486,15,8,20,16,13,13,9,13
ENSG00000171608,3311,284.75,398,315,356,289,439.5,285.5,351.5
ENSG00000171729,759,185,215,211,190,153.5,257,174,244
ENSG00000175262,2500,10,15,16,16,8,14,7,11
ENSG00000162571,2109,0,0,0,0,1,0,0,0
ENSG00000158109,816,402.5,602,460,549,440,593.5,427,674.5
ENSG00000037637,2169,710,859,709,770,568,901,576,834
ENSG00000184163,906,0,4,4,5,2.25,6,3,1
ENSG00000159423,1702,826,1105,928,1048.5,793,1034,770,1133.5
ENSG00000142599,5073,1744.42,2052.42,1723.5,1913.33,1465.17,2037.56,1478.57,2001.5
ENSG00000011021,2937,197,231.5,185,215,186,238,193,232
ENSG00000215912,3237,0,0,0,3,0,0,1,0
ENSG00000120952,1422,0,0,0,0,0,0,0,0
ENSG00000243073,1434,0.41,0,0,0,0,0,0,0
ENSG00000142615,807,1.5,6,6.5,4.5,4.5,5,4,5.5
ENSG00000215704,912,0.5,1,1.5,1.5,0.5,0,2,1.5
ENSG00000065526,11273,4262,5613.5,4590.5,4856,4338.5,5812,4411.5,5975.25
ENSG00000175756,597,4814.5,5683,4872,5880,4237,5868,4400.5,6314
ENSG00000157916,698,1663,2049.83,1834,2011,1483,2121,1594.5,2434.5
ENSG00000157881,2643,1394,1735,1493.28,1644.5,1297,1823.67,1236.5,1803
ENSG00000116213,1445,1154.25,1478,1256.5,1483.5,1081,1548.5,1115.5,1572
ENSG00000127463,3001,4548.5,5665.5,5311,5684,4446,6141,4409.5,6577
ENSG00000048707,13220,1389.5,1822,1590,1599,1237.5,1934,1260,1822
ENSG00000158748,1320,74,102,93,101,95,131,87,113
ENSG00000130762,2261,331,437,404,471,310.5,449,354,458
ENSG00000187144,2052,0,0,1,1,0,0,0,0.5
ENSG00000162444,506,1,1,1,1,0,2,1,0
ENSG00000279169,1553,0.2,0,0.4,0.2,0,0.2,0.2,0.2
ENSG00000180758,1005,73,97,74,81,76,92,79,94.5
ENSG00000184677,3717,737.5,986,807,892.5,721,1050.5,747,1140
ENSG00000270136,348,1191.91,1397.58,1302.66,1487.08,1126.12,1691.95,1201.33,1818.53
ENSG00000132879,797,359.5,430.5,393,454.5,299.5,424.5,374,513.5
ENSG00000187545,1422,0,0,0.2,0,0,0.2,0,0
ENSG00000239810,1434,0.12,0,0,0,0,0,0,0
ENSG00000116731,5213,866,1125.33,940.2,1009.33,848.17,1174.07,852.87,1249.58
ENSG00000116721,1422,0.2,0,0.2,0.2,0,0.2,0.2,0.2
ENSG00000131697,4433,402,462.5,440,493,326,475,349,457
ENSG00000088280,2771,403,498,440,482.5,357.5,508,346,484
ENSG00000188807,2073,945,1087.5,993,1150,844,1066,868,1227.75
ENSG00000198793,7647,5491.5,6945,5800,6177,4353.17,6659,4841,7157
ENSG00000078900,1947,454,588,539.5,551.5,444,589,422,564
ENSG00000142661,4413,1,0,1,3,1,2,1,4
ENSG00000171819,1038,0,0,0,0,0,0,0,1
ENSG00000197921,498,164,194,192,202,228,353,167,291
ENSG00000116288,598,9495.33,11247.17,10880.17,11969.5,9434,13580.67,9307,14204.83
ENSG00000142677,1722,0,1,2,2,1,0,0,1
ENSG00000131910,771,0,0,1,0,1,1,1,0
ENSG00000185436,1686,78.5,114,139,135,88,158,98,161
ENSG00000131914,627,0,0,0,0,0,0,0,0
ENSG00000232423,1428,0.27,0,0,0,0,0,0,0
ENSG00000169504,759,1941,2307.42,2144.83,2314.17,1857.25,2690.5,1799.12,2603.92
ENSG00000169641,3234,656.5,903,780,798,659,900,698,928
ENSG00000181773,990,26,23,44,52,38,28,34,39
ENSG00000175707,1194,0,0,0,0,0,0,0.5,0
ENSG00000233954,273,3716.5,4059.91,3914.13,4364.16,3405.9,4868.28,3540.18,5202.19
ENSG00000174950,523,1,0,0,0,0,0,1,0
ENSG00000055070,664,1175.5,1348.58,1262.33,1529.92,1137.5,1625.67,1188,1683.17
ENSG00000175087,1023,147,168,175,180,155,236,159,248
ENSG00000171735,5267,1312.5,1615.5,1485,1604.5,1261,1961.5,1317,1959
ENSG00000157191,988,1498,1783,1629.5,1870.5,1392.83,1961,1351,2022
ENSG00000133226,2757,6531.17,8580.83,7623.17,8176.17,6489.5,8672.7,6447.75,9544.5
